"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","""Order"" authorizations are not implemented. Please use ""simple"" authorization."
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check will be unavailable if CIM enabled."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Accepted Currency"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Authorization"
"Authorization transaction is required to void.","Authorization transaction is required to void."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Bank code","Bank code"
"Braintree","Braintree"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Credit Cards"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"DIBS Payment Services","DIBS Payment Services"
"Data Transfer Key","Data Transfer Key"
"Debug","Debug"
"Empty response received from Payment Bridge.","Empty response received from Payment Bridge."
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Enable CIM"
"Enable Vault","Enable Vault"
"Enabled","Enabled"
"First Data Global Gateway Web Service API","First Data Global Gateway Web Service API"
"Gateway Basic URL","Gateway Basic URL"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Gives effect only when payment bridge is active."
"IPN postback HTTP error: %s","IPN postback HTTP error: %s"
"IPN postback Validation error: %s","IPN postback Validation error: %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible to issue a refund transaction, because capture transaction does not exist."
"Magento Unique Identifier","Magento Unique Identifier"
"Merchant Code","Merchant Code"
"Merchant Key","Merchant Key"
"Merchant review is required for further processing.","Merchant review is required for further processing."
"My Credit Card profiles","My Credit Card profiles"
"My Credit Cards","My Credit Cards"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Ogone Direct Link"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code)."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Original gateway transaction id: #%s."
"PSi Gate","PSi Gate"
"Pay Now","Pay Now"
"Paybox Direct","Paybox Direct"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Payment Action"
"Payment Bridge","Payment Bridge"
"Payment Bridge Selected","Payment Bridge Selected"
"Payment Bridge authentication data is not present","Payment Bridge authentication data is not present"
"Payment Method Code is not passed.","Payment Method Code is not passed."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment gateway internal error.","Payment gateway internal error."
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Sage Pay Direct"
"Sale","Sale"
"Sort Order","Sort Order"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","This payment method will work only if the Payment Bridge is enabled and configured correctly."
"Title","Title"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","Unable to communicate with Payment Bridge service."
"Use via Payment Bridge","Use via Payment Bridge"
"Worldpay","Worldpay"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> ."
"eWAY Direct","eWAY Direct"
