"-- Please Select --","-- Please Select --"
"Action","Action"
"Add URL Redirect","Add URL Redirect"
"An error occurred during deleting the redirect item.","An error occurred during deleting the redirect item."
"An error occurred while saving the URL redirect.","An error occurred while saving the URL redirect."
"Back","Back"
"Block Information","Block Information"
"Custom","Custom"
"Description","Description"
"Edit","Edit"
"ID","ID"
"Index URL rewrites","Index URL rewrites"
"No","No"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix"""
"Options","Options"
"Permanent (301)","Permanent (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Redirect Rules"
"Redirect Type","Redirect Type"
"Redirect URL Rewrite","Redirect URL Rewrite"
"Redirect item has been saved.","Redirect item has been saved."
"Request Path","Request Path"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Select URL Redirect Type"
"Store","Store"
"Store View","Store View"
"Target Path","Target Path"
"Temporary (302)","Temporary (302)"
"Type","Type"
"URL Redirect","URL Redirect"
"URL Redirect Information","URL Redirect Information"
"URL Redirect Management","URL Redirect Management"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","URL Redirects"
